"","goal_func","OCT","OPT","MPC10","MPC25"
"1",0,4799.8755380797,5378.1192,4671.59170792525,4671.59003055551
"2",0.45,4415.57126924627,4460.369446,4052.52889389182,4052.55526603732
"3",0.5,4372.87079493145,4453.27152,3983.92516392069,4333.05726553153
"4",0.55,4330.17032061662,4374.701016,4617.91152558112,4621.90036520121
"5",0.6,4287.4698463018,4318.224272,4925.43838965019,4910.74228703917
"6",0.65,5668.03621776625,4265.826526,5234.82183830911,5199.58686549898
"7",0.75,6298.5361478213,NA,5828.46742062956,5777.10659219985
"8",1,7886.83653459291,3923.898,7335.99290905115,6985.54535560937
"9",0.1,NA,NA,4534.02071300363,4534.01943687558
"10",0.2,NA,NA,4396.4492264301,4396.44915432123
"11",0.3,NA,NA,4258.87945633065,4258.87951322187
"12",0.4,NA,NA,4121.3116177696,4121.31733061833
"13",0.7,NA,NA,5526.95392765777,5488.41954329091
"14",0.8,NA,NA,6129.98281813791,6039.02564059921
"15",0.9,NA,NA,6733.01474454703,6462.0915163204
